weight, avg_error, avg_perror, pm_3_years, pm_8_years
1,9.458,0.2883231587128861,0.269,0.522
2,9.104,0.27534193590932365,0.287,0.548
3,9.455,0.29321458303903425,0.274,0.527
4,9.289,0.28940178608898476,0.281,0.547
5,9.429,0.2927642855355667,0.297,0.521
6,9.053,0.2741750489287327,0.297,0.554
7,9.007,0.2817048885898578,0.299,0.552
8,8.309,0.26132244868902604,0.304,0.589
9,7.569,0.23452532730424003,0.349,0.64
10,7.169,0.22609094931822019,0.369,0.667
11,6.733,0.20579827080078822,0.391,0.678
12,7.021,0.22553193365909688,0.37,0.681
13,6.574,0.20043751960478737,0.414,0.699
14,6.863,0.217240558994968,0.379,0.689
15,6.329,0.19127541239608406,0.414,0.718
16,6.205,0.196109398180068,0.415,0.74
17,6.502,0.20411760942615875,0.407,0.712
18,6.777,0.2167680904124917,0.392,0.682
19,5.993,0.1815805231683649,0.422,0.754
20,6.02,0.18546861187597868,0.413,0.74
21,6.119,0.19273558132525978,0.393,0.733
22,6.226,0.1900934959851454,0.401,0.726
23,6.458,0.20936410509574255,0.407,0.714
24,6.655,0.21161803168533105,0.392,0.699
25,6.254,0.1940565224758592,0.412,0.73
26,6.343,0.19604320474864967,0.397,0.734
27,6.192,0.19940425723061048,0.415,0.728
28,6.221,0.19359158497559747,0.42,0.731
29,6.311,0.19290638058240456,0.42,0.729
30,6.323,0.19796367265251966,0.399,0.72
31,6.129,0.18847376833617743,0.425,0.742
32,6.354,0.1814600943581107,0.425,0.71
33,5.995,0.18134998789510248,0.42,0.748
34,6.426,0.20985185215954652,0.399,0.711
35,6.076,0.19645770444308158,0.408,0.737
36,6.348,0.19978704468821293,0.403,0.714
37,6.236,0.1969019032817893,0.392,0.738
38,5.832,0.18574402512650479,0.41,0.755
39,6.472,0.19145669726441772,0.39,0.732
40,6.359,0.195726800505562,0.398,0.734
41,6.223,0.18288841980477719,0.417,0.737
42,6.311,0.20232112539272062,0.377,0.724
43,6.639,0.21476941230968977,0.384,0.704
44,6.107,0.18174460289433167,0.413,0.741
45,6.444,0.20458649167162052,0.39,0.733
46,6.189,0.19568156712342216,0.405,0.735
47,6.491,0.195508348805535,0.398,0.726
48,6.672,0.21421891114549652,0.364,0.703
49,6.468,0.20521789358102988,0.372,0.709
50,6.456,0.1958483940283099,0.381,0.709
51,6.305,0.20194675801089165,0.387,0.731
52,6.127,0.19128459596433484,0.404,0.746
53,6.151,0.19277207924387182,0.373,0.739
54,6.218,0.19820314510437131,0.409,0.733
55,6.559,0.21212762792324835,0.37,0.728
56,6.356,0.19833717755263233,0.38,0.719
57,6.092,0.19053814273032454,0.404,0.744
58,6.452,0.20119843126234593,0.385,0.708
59,6.495,0.20588380780357118,0.382,0.711
60,6.47,0.20462249990736223,0.374,0.712
61,6.452,0.20362236171627432,0.375,0.714
62,6.425,0.19780913997669444,0.38,0.72
63,6.744,0.21737106033734974,0.382,0.697
64,6.412,0.20659421127801902,0.388,0.723
65,6.573,0.20650154508678598,0.397,0.707
66,6.306,0.19801070418590813,0.389,0.731
67,6.321,0.19747566567858058,0.385,0.728
68,6.641,0.21565552132029084,0.361,0.713
69,6.373,0.19561700223039152,0.383,0.717
70,6.454,0.20385889342595312,0.385,0.719
71,6.422,0.19490173103241032,0.398,0.721
72,6.539,0.20852769910140803,0.387,0.709
73,6.377,0.20324529356770546,0.378,0.72
74,6.246,0.1940315894571018,0.386,0.724
75,6.158,0.18906733923741104,0.402,0.733
76,6.639,0.21008741746797768,0.36,0.708
77,6.552,0.20227237728868377,0.366,0.709
78,6.287,0.19764112512807358,0.388,0.724
79,6.558,0.20568114773949356,0.375,0.712
80,6.523,0.20396855332918123,0.372,0.706
81,6.324,0.19890485861891993,0.404,0.725
82,6.499,0.19825743441801827,0.394,0.707
83,6.387,0.19822235924730613,0.384,0.713
84,6.675,0.2134484877389269,0.368,0.701
85,6.566,0.20954938646223298,0.387,0.708
86,6.563,0.21008801876972402,0.364,0.71
87,6.634,0.21098781905873254,0.375,0.701
88,6.386,0.19994481214093845,0.405,0.723
89,6.51,0.2064099142956058,0.371,0.707
90,6.582,0.20846369425614905,0.377,0.712
91,6.554,0.20727415223055676,0.378,0.721
92,6.444,0.20285182364526946,0.383,0.721
93,6.625,0.21160872950248488,0.373,0.709
94,6.442,0.20279626641761095,0.383,0.719
95,6.687,0.21221170306404458,0.372,0.704
96,6.674,0.20990627341207246,0.367,0.703
97,6.837,0.21723727847750965,0.355,0.693
98,6.732,0.21401323747486262,0.364,0.698
99,6.817,0.21617416702701087,0.366,0.688
100,6.778,0.2156274696284082,0.365,0.696
